vacina_dataaplicacao,quantidade
2018-02-11,1
2020-03-23,43896
2021-01-01,29
2021-01-04,22
2021-01-12,7
2021-01-15,1
2021-01-16,2
2021-01-17,15
2021-01-18,118
2021-01-19,4289
2021-01-20,10370
2021-01-21,9852
2021-01-22,8130
2021-01-23,2795
2021-01-24,1815
2021-01-25,7925
2021-01-26,7283
2021-01-27,17007
2021-01-28,18635
2021-01-29,13642
2021-01-30,3487
2021-01-31,1887
2021-02-01,10807
2021-02-02,13133
2021-02-03,11456
2021-02-04,11654
2021-02-05,10634
2021-02-06,6692
2021-02-07,6270
2021-02-08,9001
2021-02-09,9402
2021-02-10,11316
2021-02-11,15189
2021-02-12,13702
2021-02-13,11329
2021-02-14,10703
2021-02-15,15913
2021-02-16,17426
2021-02-17,18959
2021-02-18,18910
2021-02-19,14275
2021-02-20,7457
2021-02-21,4286
2021-02-22,10984
2021-02-23,9697
2021-02-24,7820
2021-02-25,11977
2021-02-26,18154
2021-02-27,7895
2021-02-28,5083
2021-03-01,25133
2021-03-02,21887
2021-03-03,21314
2021-03-04,21725
2021-03-05,20184
2021-03-06,13150
2021-03-07,7633
2021-03-08,20758
2021-03-09,22040
2021-03-10,23325
2021-03-11,21768
2021-03-12,17907
2021-03-13,6246
2021-03-14,2630
2021-03-15,15233
2021-03-16,13711
2021-03-17,14787
2021-03-18,17512
2021-03-19,10232
2021-03-20,13603
2021-03-21,7128
2021-03-22,35576
2021-03-23,53246
2021-03-24,55724
2021-03-25,63143
2021-03-26,31209
2021-03-27,27601
2021-03-28,21006
2021-03-29,38479
2021-03-30,42690
2021-03-31,47390
2021-04-01,48278
2021-04-02,31316
2021-04-03,33320
2021-04-04,7578
2021-04-05,23619
2021-04-06,28737
2021-04-07,27009
2021-04-08,23238
2021-04-09,19293
2021-04-10,15630
2021-04-11,5640
2021-04-12,26790
2021-04-13,24409
2021-04-14,24874
2021-04-15,30306
2021-04-16,32728
2021-04-17,34733
2021-04-18,6862
2021-04-19,38656
2021-04-20,50243
2021-04-21,35406
2021-04-22,38370
2021-04-23,29986
2021-04-24,35834
2021-04-25,8921
2021-04-26,32726
2021-04-27,39768
2021-04-28,30462
2021-04-29,22551
2021-04-30,13307
2021-05-01,15353
2021-05-02,7241
2021-05-03,25072
2021-05-04,23020
2021-05-05,20752
2021-05-06,14257
2021-05-07,15529
2021-05-08,25754
2021-05-09,3782
2021-05-10,18605
2021-05-11,17912
2021-05-12,16063
2021-05-13,18708
2021-05-14,13285
2021-05-15,22695
2021-05-16,35483
2021-05-17,14579
2021-05-18,14753
2021-05-19,15364
2021-05-20,26349
2021-05-21,18637
2021-05-22,19856
2021-05-23,4629
2021-05-24,17570
2021-05-25,18493
2021-05-26,15842
2021-05-27,16070
2021-05-28,18143
2021-05-29,26680
2021-05-30,4602
2021-05-31,16849
2021-06-01,18853
2021-06-02,25399
2021-06-03,17153
2021-06-04,17202
2021-06-05,12765
2021-06-06,7634
2021-06-07,17776
2021-06-08,21035
2021-06-09,21294
2021-06-10,27954
2021-06-11,25673
2021-06-12,41209
2021-06-13,10416
2021-06-14,20609
2021-06-15,21221
2021-06-16,24404
2021-06-17,21430
2021-06-18,31662
2021-06-19,40174
2021-06-20,9761
2021-06-21,24736
2021-06-22,25057
2021-06-23,26107
2021-06-24,27913
2021-06-25,25652
2021-06-26,49746
2021-06-27,2087
2021-06-28,3294
2021-06-29,522
